Antecedent;Consequent
" Dessert a 1,60|  Fixer Rabatt/Aufschl.|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen  "; O-Saft frisch   
" Fixer Rabatt/Aufschl.|  O-Saft frisch|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen  "; Dessert a 1,60   
 Key/Card-Rücknahme|  Obstteller ; Beilage a 0,45   
 Dessert a 1,60|  Key/Card-Rücknahme ; Beilage a 0,45   
 Breze 0,65|  Key/Card-Rücknahme ; SalatTeller   
 Key/Card-Rücknahme|  Kornsemmel 0,40 ; SalatTeller   
 Dessert a 0,60|  Fruchtsaft frisch ; Salat Port.  0,60   
 Dessert a 0,60|  Salat Port.  0,60 ; Fruchtsaft frisch   
 Fruchtsaft frisch|  Kornsemmel 0,40 ; SalatTeller   
 Dessert a 1,60|  Kornsemmel 0,40 ; Tagessuppe a 0,30   
 Dessert a 0,80|  Kornsemmel 0,40 ; Tagessuppe a 0,30   
 Breze 0,65|  Kornsemmel 0,40 ; SalatTeller   
 Kornsemmel 0,40|  Salat Port.  0,60 ; Obstteller|  Salat Schale| 
 Kornsemmel 0,40|  Obstteller|  Salat Port.  0,60 ; Salat Schale   
 Kornsemmel 0,40|  Obstteller|  Salat Schale ; Salat Port.  0,60   
 Kornsemmel 0,40|  Salat Port.  0,60|  Salat Schale ; Obstteller   
 Obstteller|  Salat Port.  0,60|  Salat Schale ; Kornsemmel 0,40   
" Kornsemmel 0,40|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen  "; Tagessuppe a 0,30   
 Dessert a 0,80|  Klassik Semmel 0,30 ; Beilage a 0,45   
 Fruchtsaft frisch|  Klassik Semmel 0,30 ; SalatTeller|  Tagessuppe a 0,30| 
 Fruchtsaft frisch|  Klassik Semmel 0,30|  SalatTeller ; Tagessuppe a 0,30   
 Fruchtsaft frisch|  Klassik Semmel 0,30|  Tagessuppe a 0,30 ; SalatTeller   
 Fruchtsaft frisch|  SalatTeller|  Tagessuppe a 0,30 ; Klassik Semmel 0,30   
 Breze 0,65|  Klassik Semmel 0,30 ; SalatTeller   
 Breze 0,65|  Obstteller ; Tagessuppe a 0,30   
 Obstteller|  Tagessuppe a 0,30 ; Breze 0,65   
 Fruchtsaft frisch|  Obstteller ; Beilage a 0,45   
 Beilage a 0,45|  Beilage a 0,45|  Salat Port.  0,60 ; Obstteller   
" Breze 0,65|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen  "; Dessert a 1,60|  Tagessuppe a 0,30| 
" Breze 0,65|  Dessert a 1,60|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen  "; Tagessuppe a 0,30   
