Antecedent;Consequent
 BIO Frucht Buttermilch | Breze 0,65 | Molkereiprodukte 0,65 | Port. Butter Honig ec ; Semmeln    
 BIO Frucht Buttermilch | Breze 0,65 | Molkereiprodukte 0,65 | Semmeln ; Port. Butter Honig ec    
 BIO Frucht Buttermilch | Breze 0,65 | Port. Butter Honig ec | Semmeln ; Molkereiprodukte 0,65    
 BIO Frucht Buttermilch | Molkereiprodukte 0,65 | Port. Butter Honig ec | Semmeln ; Breze 0,65    
 Breze 0,65 | Molkereiprodukte 0,65 | Port. Butter Honig ec | Semmeln ; BIO Frucht Buttermilch    
 BIO Back 0,45 | BIO Frucht Buttermilch ; Port. Butter Honig ec    
 BIO Frucht Buttermilch | BIO Joghurt Frucht ; belegte Backw. 1,40    
 BIO Frucht Buttermilch | belegte Backw. 1,40 ; BIO Joghurt Frucht    
 BIO Frucht Buttermilch | LeberkÃ¤se Semme; Semmeln    
 BIO Frucht Buttermilch | Kornsemmel 0,40 ; Port. Butter Honig ec    
 BIO Frucht Buttermilch | Breze 0,65 | Kornsemmel 0,40 ; Port. Butter Honig ec | Wiener |
 BIO Frucht Buttermilch | Breze 0,65 | Wiener ; Kornsemmel 0,40 | Port. Butter Honig ec |
 BIO Frucht Buttermilch | Kornsemmel 0,40 | Wiener ; Breze 0,65 | Port. Butter Honig ec |
 BIO Frucht Buttermilch | Port. Butter Honig ec | Wiener ; Breze 0,65 | Kornsemmel 0,40 |
 BIO Frucht Buttermilch | Breze 0,65 | Kornsemmel 0,40 | Port. Butter Honig ec ; Wiener    
 BIO Frucht Buttermilch | Breze 0,65 | Kornsemmel 0,40 | Wiener ; Port. Butter Honig ec    
 BIO Frucht Buttermilch | Breze 0,65 | Port. Butter Honig ec | Wiener ; Kornsemmel 0,40    
 BIO Frucht Buttermilch | Kornsemmel 0,40 | Port. Butter Honig ec | Wiener ; Breze 0,65    
 Breze 0,65 | Kornsemmel 0,40 | Port. Butter Honig ec | Wiener ; BIO Frucht Buttermilch    
 BIO Molkerei 0,80 | BIO Molkerei 0,80 ; BIO Frucht Buttermilch    
 Marmelade 0,35 | Molkereiprodukte 1,10 ; Breze 0,65    
 LeberkÃ¤se Semmel | Molkereiprodukte 1,1; Semmeln | belegte Backw. 1,40 |
 Molkereiprodukte 1,10 | Semmeln ; LeberkÃ¤se Semmel | belegte Backw. 1,40
 LeberkÃ¤se Semmel | Molkereiprodukte 1,10 | Semmel; belegte Backw. 1,40    
 LeberkÃ¤se Semmel | Molkereiprodukte 1,10 | belegte Backw. 1,4; Semmeln    
 Molkereiprodukte 1,10 | Semmeln | belegte Backw. 1,40 ; LeberkÃ¤se Semmel  
 Molkereiprodukte 1,10 | Molkereiprodukte 1,10 ; KÃ¤se-Mohn Breze  
 BIO Molkerei 1,00 | Molkereiprodukte 1,10 ; Wiener    
 Molkereiprodukte 1,10 | Wiener ; BIO Molkerei 1,00    
 BIO-RÃ¼hrei | Molkereiprodukte 1,1; belegte Backw. 1,70    
 Backwaren Kuchen 1,30 | Molkereiprodukte 1,10 ; Breze 0,65    
 BIO Molkerei 0,55 _ | Key/Card-Aufladung ; Wiener | belegte Backw. 2,30 |
 Key/Card-Aufladung | belegte Backw. 2,30 ; BIO Molkerei 0,55 _ | Wiener |
 Key/Card-Aufladung | Wiener ; BIO Molkerei 0,55 _ | belegte Backw. 2,30 |
 BIO Molkerei 0,55 _ | Key/Card-Aufladung | Wiener ; belegte Backw. 2,30    
 BIO Molkerei 0,55 _ | Key/Card-Aufladung | belegte Backw. 2,30 ; Wiener    
 BIO Molkerei 0,55 _ | Wiener | belegte Backw. 2,30 ; Key/Card-Aufladung    
 Key/Card-Aufladung | Wiener | belegte Backw. 2,30 ; BIO Molkerei 0,55 _    
 Key/Card-Aufladung | MÃ¼sli to g; Croissant 0,90    
 Key/Card-Aufladung | O-Saft frisch ; belegte Backw. 1,70    
 Key/Card-Aufladung | belegte Backw. 1,70 ; O-Saft frisch    
 Key/Card-Aufladung | MÃ¼sliTelle; Obstbecher 0,90    
 BIO Molkerei 0,55 _ | Wiener Teller ; Breze 0,65 | O-Saft frisch |
 BIO Molkerei 0,55 _ | Breze 0,65 | Wiener Teller ; O-Saft frisch    
 BIO Molkerei 0,55 _ | O-Saft frisch | Wiener Teller ; Breze 0,65    
 Marmelade 0,35 | Wiener Teller ; Breze 0,65 | Croissant 0,90 | O-Saft frisch | Port. Butter Honig ec |
 Marmelade 0,35 | O-Saft frisch | Wiener Teller ; Breze 0,65 | Croissant 0,90 | Port. Butter Honig ec |
 Breze 0,65 | Marmelade 0,35 | Wiener Teller ; Croissant 0,90 | O-Saft frisch | Port. Butter Honig ec |
 Breze 0,65 | Marmelade 0,35 | O-Saft frisch | Wiener Teller ; Croissant 0,90 | Port. Butter Honig ec |
 Breze 0,65 | Marmelade 0,35 | Port. Butter Honig ec | Wiener Teller ; Croissant 0,90 | O-Saft frisch |
 Marmelade 0,35 | O-Saft frisch | Port. Butter Honig ec | Wiener Teller ; Breze 0,65 | Croissant 0,90 |
 Croissant 0,90 | Wiener Teller ; Breze 0,65 | Marmelade 0,35 | O-Saft frisch | Port. Butter Honig ec |
 Croissant 0,90 | Marmelade 0,35 | O-Saft frisch ; Breze 0,65 | Port. Butter Honig ec |
